SBD,Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD,KHTN,KHXH,KhoiA02,KhoiC01,KhoiD07,TongDiemKHTN,TongDiemKHXH
01018725,25,1,18725,,8.5,,,,,,,,,8.5,,,,,,,,,,,,
01039585,25,1,39585,6.8,,5.5,5.0,,,,,,,17.3,17.3,,,,,,,,,,,
01039586,25,1,39586,8.4,6.75,,,,,,,5.6,N1,20.75,,,,,20.75,,,,,,,
01039588,25,1,39588,,8.5,,,,,8.75,,7.0,N1,24.25,,,,,,,,,,,,
01039589,25,1,39589,8.2,8.75,,,,,,,6.8,N1,23.75,,,,,23.75,,,,,,,
01039590,25,1,39590,,8.75,,,,9.5,9.25,8.5,,,36.0,,,,27.5,,,9.08,,,,,
01039592,25,1,39592,,8.5,,,,9.5,9.25,,,,27.25,,,,27.25,,,,,,,,
01039593,25,1,39593,,4.75,,,,6.0,6.75,,,,17.5,,,,17.5,,,,,,,,
01039594,25,1,39594,7.2,,5.75,4.75,,,,,,,17.7,17.7,,,,,,,,,,,
01039595,25,1,39595,8.2,9.5,,,,,,,7.4,N1,25.1,,,,,25.1,,,,,,,
01039596,25,1,39596,2.4,2.25,,,,4.75,5.0,6.5,2.2,N1,23.1,,,,12.0,6.85,,5.42,,,,,23.1
