SBD,Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD,KHTN,KHXH,KhoiA02,KhoiC01,KhoiD07,TongDiemKHTN,TongDiemKHXH
05005561,25,5,5561,2.4,4.5,,,,4.25,6.25,5.0,3.0,N1,25.4,,,,15.0,9.9,,5.17,,,,,25.4
05005562,25,5,5562,,7.25,,,,4.75,6.25,7.25,,,25.5,,,,18.25,,,6.08,,,,,
05005564,25,5,5564,,3.0,,,,3.75,2.25,4.5,,,13.5,,,,9.0,,,3.5,,,,,
05005565,25,5,5565,,7.0,,,,9.25,8.75,,,,25.0,,,,25.0,,,,,,,,
05005566,25,5,5566,,3.75,,,,5.25,7.5,8.25,,,24.75,,,,16.5,,,7.0,,,,,
05005567,25,5,5567,8.0,7.25,,,,8.0,,,,,23.25,,,,,,,,,,,,
05005568,25,5,5568,,5.25,,,,6.0,6.5,,,,17.75,,,,17.75,,,,,,,,
05005569,25,5,5569,,5.0,,,,4.25,5.0,6.25,,,20.5,,,,14.25,,,5.17,,,,,
05005570,25,5,5570,7.4,,6.0,6.75,,,,,,,20.15,20.15,,,,,,,,,,,
05005572,25,5,5572,,5.5,,,,7.0,8.0,,,,20.5,,,,20.5,,,,,,,,
05005574,25,5,5574,,6.0,,,,7.0,7.75,7.5,,,28.25,,,,20.75,,,7.42,,,,,
05005575,25,5,5575,,6.25,,,,7.75,8.25,9.0,,,31.25,,,,22.25,,,8.33,,,,,
05005576,25,5,5576,8.0,8.25,,,,,,,7.8,N1,24.05,,,,,24.05,,,,,,,
05005577,25,5,5577,7.4,8.75,,,,,,,7.8,N1,23.95,,,,,23.95,,,,,,,
05005578,25,5,5578,,5.25,,,,,6.5,8.25,,,20.0,,,,,,,,,,,,
05005579,25,5,5579,5.8,8.75,,,,9.25,8.5,,,,32.3,,,,26.5,,,,,,,,
05005580,25,5,5580,,8.75,,,,6.75,8.25,,,,23.75,,,,23.75,,,,,,,,
05005582,25,5,5582,,7.25,,,,8.0,,,5.6,N1,20.85,,,,,,,,,,,,
05005583,25,5,5583,1.8,4.5,,,,5.75,,,2.6,N1,14.65,,,,,8.9,,,,,,,
05005584,25,5,5584,1.4,5.0,,,,4.5,6.5,7.25,,,24.65,,,,16.0,,,6.08,,,,,
05005585,25,5,5585,,5.75,,,,7.25,6.75,,,,19.75,,,,19.75,,,,,,,,
05005587,25,5,5587,,4.5,,,,5.0,6.75,,,,16.25,,,,16.25,,,,,,,,
05005588,25,5,5588,,3.75,,,,4.25,6.75,,,,14.75,,,,14.75,,,,,,,,
05005589,25,5,5589,,5.0,,,,6.25,7.5,,,,18.75,,,,18.75,,,,,,,,
05005590,25,5,5590,,5.0,,,,6.5,6.25,,,,17.75,,,,17.75,,,,,,,,
05005591,25,5,5591,2.0,5.75,,,,,5.5,,3.6,N1,16.85,,,,,11.35,,,,,,,
05005592,25,5,5592,3.2,7.0,,,,3.5,5.75,9.0,5.8,N1,34.25,,,,16.25,16.0,,6.08,,,,,34.25
05005593,25,5,5593,6.6,,,3.5,5.75,,,,,,15.85,,,15.85,,,,,,,,,
05005594,25,5,5594,1.8,6.0,,,,3.5,4.0,6.75,,,22.05,,,,13.5,,,4.75,,,,,
05005596,25,5,5596,,5.25,,,,5.0,6.75,7.25,,,24.25,,,,17.0,,,6.33,,,,,
05005597,25,5,5597,3.4,2.75,,,,3.75,5.0,,,,14.9,,,,11.5,,,,,,,,
05005598,25,5,5598,,4.5,,,,4.25,6.75,7.25,,,22.75,,,,15.5,,,6.08,,,,,
05005599,25,5,5599,8.4,8.75,,,,8.75,9.5,,,,35.4,,,,27.0,,,,,,,,
05005600,25,5,5600,6.6,7.5,,,,,,,4.8,N1,18.9,,,,,18.9,,,,,,,
05005601,25,5,5601,,7.0,,,,9.0,8.75,,,,24.75,,,,24.75,,,,,,,,
05005602,25,5,5602,7.2,6.5,,,,,,,8.2,N1,21.9,,,,,21.9,,,,,,,
05005603,25,5,5603,3.2,8.25,,,,7.5,5.75,7.5,,,32.2,,,,21.5,,,6.92,,,,,
05005605,25,5,5605,,8.0,,,,8.5,9.75,9.75,,,36.0,,,,26.25,,,9.33,,,,,
05005606,25,5,5606,,7.5,,,,5.5,8.5,9.25,,,30.75,,,,21.5,,,7.75,,,,,
05005607,25,5,5607,,5.25,,,,6.75,8.25,,,,20.25,,,,20.25,,,,,,,,
05005608,25,5,5608,,6.5,,,,5.5,6.75,,,,18.75,,,,18.75,,,,,,,,
05005609,25,5,5609,,4.5,,,,4.25,4.25,5.25,,,18.25,,,,13.0,,,4.58,,,,,
05005610,25,5,5610,,5.0,,,,6.75,7.5,,,,19.25,,,,19.25,,,,,,,,
05005611,25,5,5611,,8.25,,,,7.5,9.25,,,,25.0,,,,25.0,,,,,,,,
05005612,25,5,5612,,5.25,,,,3.5,6.0,,,,14.75,,,,14.75,,,,,,,,
05005613,25,5,5613,,5.25,,,,3.75,7.25,6.25,,,22.5,,,,16.25,,,5.75,,,,,
05005614,25,5,5614,,8.25,,,,8.25,8.25,,,,24.75,,,,24.75,,,,,,,,
05005615,25,5,5615,,8.5,,,,9.75,8.75,,,,27.0,,,,27.0,,,,,,,,
05005616,25,5,5616,8.8,,6.75,6.5,3.25,,,,,,25.3,22.05,,18.55,,,5.5,,18.8,,,,
05005617,25,5,5617,5.4,,,3.5,4.75,,,,,,13.65,,,13.65,,,,,,,,,
05005619,25,5,5619,,7.25,,,,8.0,7.0,7.75,,,30.0,,,,22.25,,,7.58,,,,,
05005620,25,5,5620,,7.5,,,,,8.5,9.5,,,25.5,,,,,,,,,,,,
05005622,25,5,5622,,7.0,,,,5.0,7.25,,,,19.25,,,,19.25,,,,,,,,
05005623,25,5,5623,,6.0,,,,7.25,8.5,7.0,,,28.75,,,,21.75,,,7.58,,,,,
05005624,25,5,5624,4.8,7.25,,2.0,,,,,5.0,N1,19.05,,,,,17.05,,,,,11.8,,
05005626,25,5,5626,,8.25,,,,5.0,7.75,7.75,,,28.75,,,,21.0,,,6.83,,,,,
05005627,25,5,5627,2.4,7.25,,,,4.5,5.75,7.75,2.4,N1,30.05,,,,17.5,12.05,,6.0,,,,,30.05
05005628,25,5,5628,3.4,3.75,,,,3.5,4.75,,,,15.4,,,,12.0,,,,,,,,
05005629,25,5,5629,,5.5,,,,6.75,8.25,,,,20.5,,,,20.5,,,,,,,,
05005630,25,5,5630,,6.75,,,,9.25,7.75,,,,23.75,,,,23.75,,,,,,,,
05005631,25,5,5631,4.4,5.0,,,,3.25,6.5,7.75,2.2,N1,29.1,,,,14.75,11.6,,5.83,,,,,29.1
05005632,25,5,5632,,8.0,,,,6.75,8.0,,,,22.75,,,,22.75,,,,,,,,
05005633,25,5,5633,,7.0,,,,7.0,8.75,,,,22.75,,,,22.75,,,,,,,,
05005635,25,5,5635,,6.75,,,,2.25,7.5,7.5,,,24.0,,,,16.5,,,5.75,,,,,
05005636,25,5,5636,,8.25,,,,8.5,7.75,7.25,,,31.75,,,,24.5,,,7.83,,,,,
05005637,25,5,5637,,5.5,,,,,7.75,8.25,,,21.5,,,,,,,,,,,,
05005638,25,5,5638,,5.0,,,,6.5,6.5,8.25,,,26.25,,,,18.0,,,7.08,,,,,
05005640,25,5,5640,,,,,,6.75,,8.25,,,15.0,,,,,,,,,,,,
05005641,25,5,5641,2.8,6.5,,,,4.5,7.25,8.5,,,29.55,,,,18.25,,,6.75,,,,,
05005642,25,5,5642,,5.0,,,,4.0,6.25,5.75,,,21.0,,,,15.25,,,5.33,,,,,
05005643,25,5,5643,,5.25,,,,7.75,7.5,7.75,,,28.25,,,,20.5,,,7.67,,,,,
05005644,25,5,5644,3.2,3.75,,,,5.25,5.0,8.0,2.4,N1,27.6,,,,14.0,9.35,,6.08,,,,,27.6
05005645,25,5,5645,,5.5,,,,3.75,6.5,5.75,,,21.5,,,,15.75,,,5.33,,,,,
05005646,25,5,5646,7.8,,6.5,,,,,,5.4,N1,19.7,,19.7,,,,,,,,,,
05005647,25,5,5647,,8.25,,,,3.75,7.0,,,,19.0,,,,19.0,,,,,,,,
05005648,25,5,5648,,4.5,,,,5.75,6.0,,,,16.25,,,,16.25,,,,,,,,
05005650,25,5,5650,,7.25,,,,,6.75,8.75,,,22.75,,,,,,,,,,,,
05005651,25,5,5651,,5.25,,,,,7.0,6.25,,,18.5,,,,,,,,,,,,
05005652,25,5,5652,,8.5,,,,5.5,7.5,,,,21.5,,,,21.5,,,,,,,,
05005653,25,5,5653,,6.0,,,,8.5,8.25,,,,22.75,,,,22.75,,,,,,,,
05005654,25,5,5654,,5.5,,,,5.75,7.25,7.25,,,25.75,,,,18.5,,,6.75,,,,,
05005655,25,5,5655,8.6,,6.75,8.25,,,,,,,23.6,23.6,,,,,,,,,,,
05005656,25,5,5656,,6.75,,,,6.0,6.75,,,,19.5,,,,19.5,,,,,,,,
05005657,25,5,5657,,6.25,,,,4.5,7.75,,,,18.5,,,,18.5,,,,,,,,
05005658,25,5,5658,,8.5,,,,7.5,9.25,9.0,,,34.25,,,,25.25,,,8.58,,,,,
05005659,25,5,5659,3.0,3.5,,,,3.0,3.75,,,,13.25,,,,10.25,,,,,,,,
05005660,25,5,5660,,5.0,,,,5.25,6.5,,,,16.75,,,,16.75,,,,,,,,
05005661,25,5,5661,5.8,3.25,,,,2.0,5.75,6.5,4.0,N1,27.3,,,,11.0,13.05,,4.75,,,,,27.3
05005662,25,5,5662,,5.0,,,,3.5,5.25,,,,13.75,,,,13.75,,,,,,,,
05005663,25,5,5663,,5.5,,,,4.5,7.0,6.0,,,23.0,,,,17.0,,,5.83,,,,,
05005664,25,5,5664,2.8,3.75,,,,2.75,4.5,4.0,2.8,N1,20.6,,,,11.0,9.35,,3.75,,,,,20.6
05005665,25,5,5665,7.8,,9.0,8.0,,,,,,,24.8,24.8,,,,,,,,,,,
06005018,25,6,5018,5.4,7.5,,,,,,,4.6,N1,17.5,,,,,17.5,,,,,,,
06005019,25,6,5019,,5.5,,,,9.5,9.5,,,,24.5,,,,24.5,,,,,,,,
06005020,25,6,5020,,8.25,,,,9.0,8.75,,,,26.0,,,,26.0,,,,,,,,
06005021,25,6,5021,,3.75,,,,4.75,6.5,,,,15.0,,,,15.0,,,,,,,,
06005022,25,6,5022,,6.5,,,,7.25,7.0,,,,20.75,,,,20.75,,,,,,,,
06005023,25,6,5023,6.6,,6.25,,,,,,4.8,N1,17.65,,17.65,,,,,,,,,,
06005024,25,6,5024,6.4,6.5,,,,,,,8.4,N1,21.3,,,,,21.3,,,,,,,
06005025,25,6,5025,,3.5,,,,8.75,9.0,,,,21.25,,,,21.25,,,,,,,,
06005026,25,6,5026,7.8,8.5,,,,9.75,9.5,,,,35.55,,,,27.75,,,,,,,,
06005027,25,6,5027,7.2,,6.0,4.0,,,,,,,17.2,17.2,,,,,,,,,,,
06005028,25,6,5028,5.6,,,3.25,5.75,,,,,,14.6,,,14.6,,,,,,,,,
06005030,25,6,5030,,8.75,,,,9.5,9.25,,,,27.5,,,,27.5,,,,,,,,
06005031,25,6,5031,,8.25,,,,9.25,8.0,,,,25.5,,,,25.5,,,,,,,,
06005032,25,6,5032,6.6,,5.5,4.75,,,,,,,16.85,16.85,,,,,,,,,,,
06005033,25,6,5033,2.0,5.75,,,,8.25,,,,,16.0,,,,,,,,,,,,
06005034,25,6,5034,,3.75,,,,5.0,7.25,,,,16.0,,,,16.0,,,,,,,,
06005035,25,6,5035,,4.0,,,,7.0,8.25,,,,19.25,,,,19.25,,,,,,,,
06005036,25,6,5036,8.4,,8.25,,,,,,6.8,N1,23.45,,23.45,,,,,,,,,,
06005037,25,6,5037,3.4,2.0,,,,3.75,3.5,4.5,2.6,N1,19.75,,,,9.25,8.0,,3.92,,,,,19.75
06005038,25,6,5038,7.8,7.25,,,,,,,7.4,N1,22.45,,,,,22.45,,,,,,,
06005039,25,6,5039,3.8,6.75,,,,5.25,,,,,15.8,,,,,,,,,,,,
06005040,25,6,5040,6.6,,6.25,4.5,,,,,,,17.35,17.35,,,,,,,,,,,
06005041,25,6,5041,,2.5,,,,3.25,3.75,,,,9.5,,,,9.5,,,,,,,,
06005042,25,6,5042,6.8,8.0,,,,8.25,7.75,,5.2,N1,36.0,,,,24.0,20.0,,,,,,,
06005043,25,6,5043,,7.25,,,,8.25,8.5,,,,24.0,,,,24.0,,,,,,,,
06005044,25,6,5044,5.2,6.75,,,,,,,7.6,N4,19.55,,,,,19.55,,,,,,,
06005045,25,6,5045,,4.25,,,,7.25,8.5,,,,20.0,,,,20.0,,,,,,,,
06005046,25,6,5046,2.8,3.25,,,,5.0,3.5,6.0,2.6,N1,23.15,,,,11.75,8.65,,4.83,,,,,23.15
06005047,25,6,5047,,2.25,,,,2.0,4.25,,,,8.5,,,,8.5,,,,,,,,
06005048,25,6,5048,,5.75,,,,7.75,7.5,,,,21.0,,,,21.0,,,,,,,,
06005049,25,6,5049,6.4,6.25,,,,6.0,,8.0,,,26.65,,,,,,,,,,,,
06005050,25,6,5050,8.4,,6.75,1.75,,,,,5.4,N1,22.3,16.9,20.55,,,,,,,,15.55,,
06005051,25,6,5051,,4.75,,,,6.0,6.5,,,,17.25,,,,17.25,,,,,,,,
06005052,25,6,5052,,3.5,,,,4.0,7.25,,,,14.75,,,,14.75,,,,,,,,
06005053,25,6,5053,,6.5,,,,4.25,8.0,,,,18.75,,,,18.75,,,,,,,,
06005054,25,6,5054,,5.0,,,,6.25,7.75,,,,19.0,,,,19.0,,,,,,,,
06005055,25,6,5055,2.4,4.0,,,,3.0,3.75,5.0,2.6,N1,20.75,,,,10.75,9.0,,3.92,,,,,20.75
06005056,25,6,5056,,4.0,,,,9.25,8.75,,,,22.0,,,,22.0,,,,,,,,
06005057,25,6,5057,,8.25,,,,,,,,,8.25,,,,,,,,,,,,
06005058,25,6,5058,,7.25,,,,6.25,7.25,,,,20.75,,,,20.75,,,,,,,,
06005059,25,6,5059,4.4,7.0,,,,8.25,,,,,19.65,,,,,,,,,,,,
06005060,25,6,5060,,4.5,,,,7.25,6.5,,,,18.25,,,,18.25,,,,,,,,
06005061,25,6,5061,,5.25,,,,6.75,7.0,,,,19.0,,,,19.0,,,,,,,,
06005062,25,6,5062,,4.75,,,,5.5,4.5,,,,14.75,,,,14.75,,,,,,,,
06005063,25,6,5063,,5.25,,,,5.0,7.5,,,,17.75,,,,17.75,,,,,,,,
06005064,25,6,5064,7.6,4.5,7.0,6.5,,,,,4.8,N1,30.4,21.1,19.4,,,16.9,,,,19.1,18.9,,
06005065,25,6,5065,,4.5,,,,5.5,5.5,,,,15.5,,,,15.5,,,,,,,,
06005066,25,6,5066,,3.75,,,,4.0,7.0,,,,14.75,,,,14.75,,,,,,,,
06005067,25,6,5067,6.2,3.25,,,,,,,4.2,N1,13.65,,,,,13.65,,,,,,,
06005068,25,6,5068,,4.5,,,,6.25,7.25,,,,18.0,,,,18.0,,,,,,,,
06005069,25,6,5069,,6.0,,,,8.75,7.75,,,,22.5,,,,22.5,,,,,,,,
06005070,25,6,5070,4.2,4.25,,,,7.5,7.25,9.25,1.2,N1,33.65,,,,19.0,9.65,,8.0,,,,,33.65
06005071,25,6,5071,,3.5,,,,6.25,8.25,,,,18.0,,,,18.0,,,,,,,,
06005072,25,6,5072,,5.25,,,,6.0,7.75,,,,19.0,,,,19.0,,,,,,,,
06005073,25,6,5073,,2.5,,,,,,,,,2.5,,,,,,,,,,,,
06005074,25,6,5074,7.2,6.0,,,,,,,7.6,N1,20.8,,,,,20.8,,,,,,,
06005075,25,6,5075,5.0,,6.0,4.25,,,,,3.6,N1,18.85,15.25,14.6,,,,,,,,12.85,,
06005076,25,6,5076,,3.25,,,,6.75,8.0,,,,18.0,,,,18.0,,,,,,,,
06005077,25,6,5077,6.2,,4.5,5.0,,,,,,,15.7,15.7,,,,,,,,,,,
06005078,25,6,5078,,5.0,,,,3.25,4.75,,,,13.0,,,,13.0,,,,,,,,
06005079,25,6,5079,,5.0,,,,5.25,8.0,,,,18.25,,,,18.25,,,,,,,,
06005080,25,6,5080,4.4,6.0,,,,7.25,7.25,,5.0,N1,29.9,,,,20.5,15.4,,,,,,,
06005081,25,6,5081,7.4,,6.75,6.25,,,,,,,20.4,20.4,,,,,,,,,,,
06005082,25,6,5082,6.2,,2.5,2.75,4.75,,,,,,16.2,11.45,,13.7,,,3.33,,13.45,,,,
06005083,25,6,5083,7.6,,9.0,9.0,,,,,,,25.6,25.6,,,,,,,,,,,
06005084,25,6,5084,,6.25,,,,8.75,8.75,,,,23.75,,,,23.75,,,,,,,,
06005085,25,6,5085,8.2,,7.0,4.25,6.75,,,,7.0,N1,33.2,19.45,22.2,19.2,,,6.0,,21.95,,19.45,,
06005087,25,6,5087,,6.25,,,,7.75,8.25,,,,22.25,,,,22.25,,,,,,,,
06005089,25,6,5089,7.2,,5.25,3.25,,,,,,,15.7,15.7,,,,,,,,,,,
06005090,25,6,5090,6.4,,5.5,3.5,,,,,,,15.4,15.4,,,,,,,,,,,
06005091,25,6,5091,,8.0,,,,8.5,9.0,7.25,,,32.75,,,,25.5,,,8.25,,,,,
06005092,25,6,5092,,7.0,,,,7.25,8.5,,,,22.75,,,,22.75,,,,,,,,
06005093,25,6,5093,8.4,6.5,5.25,,,,,,9.6,N1,29.75,,23.25,,,24.5,,,,20.15,,,
06005094,25,6,5094,6.2,,7.5,,,,,,5.0,N1,18.7,,18.7,,,,,,,,,,
06005095,25,6,5095,,4.5,,,,9.25,8.5,,,,22.25,,,,22.25,,,,,,,,
06005096,25,6,5096,6.2,,5.0,2.5,,,,,4.8,N1,18.5,13.7,16.0,,,,,,,,13.5,,
06005097,25,6,5097,,6.75,,,,8.75,8.0,9.0,,,32.5,,,,23.5,,,8.58,,,,,
06005098,25,6,5098,,5.25,,,,5.25,6.75,,,,17.25,,,,17.25,,,,,,,,
06005099,25,6,5099,,4.5,,,,4.25,6.0,,,,14.75,,,,14.75,,,,,,,,
06005100,25,6,5100,,6.5,,,,4.75,8.0,,,,19.25,,,,19.25,,,,,,,,
06005101,25,6,5101,,6.0,,,,,,,,,6.0,,,,,,,,,,,,
06005102,25,6,5102,,6.0,,,,6.75,7.5,,,,20.25,,,,20.25,,,,,,,,
06005103,25,6,5103,7.6,5.5,,,,9.25,,,,,22.35,,,,,,,,,,,,
06005104,25,6,5104,,5.75,,,,4.75,6.0,8.25,,,24.75,,,,16.5,,,6.33,,,,,
06005105,25,6,5105,6.6,5.5,,,,,,,4.6,N1,16.7,,,,,16.7,,,,,,,
06005106,25,6,5106,,3.25,,,,9.5,7.5,,,,20.25,,,,20.25,,,,,,,,
06005107,25,6,5107,,1.25,,,,2.75,3.25,,,,7.25,,,,7.25,,,,,,,,
06005108,25,6,5108,5.2,,4.5,3.75,,,,,,,13.45,13.45,,,,,,,,,,,
06005109,25,6,5109,,5.0,,,,9.5,7.25,,,,21.75,,,,21.75,,,,,,,,
06005110,25,6,5110,,5.25,,,,5.5,7.0,,,,17.75,,,,17.75,,,,,,,,
06005111,25,6,5111,,3.75,,,,3.5,3.25,,,,10.5,,,,10.5,,,,,,,,
06005112,25,6,5112,8.4,,5.0,,,,,,4.2,N1,17.6,,17.6,,,,,,,,,,
06005113,25,6,5113,7.2,,4.0,4.0,,,,,,,15.2,15.2,,,,,,,,,,,
06005114,25,6,5114,8.4,7.0,6.25,,,,,,6.8,N1,28.45,,21.45,,,22.2,,,,21.65,,,
06005115,25,6,5115,,6.25,,,,8.5,8.0,,,,22.75,,,,22.75,,,,,,,,
06005116,25,6,5116,6.8,5.5,,,,5.75,7.75,9.0,3.4,N1,38.2,,,,19.0,15.7,,7.5,,,,,38.2
06005117,25,6,5117,,7.75,,,,7.5,7.75,,,,23.0,,,,23.0,,,,,,,,
06005118,25,6,5118,,8.25,,,,7.25,7.0,8.5,,,31.0,,,,22.5,,,7.58,,,,,
06005119,25,6,5119,7.0,,5.5,,,,,,6.0,N1,18.5,,18.5,,,,,,,,,,
06005120,25,6,5120,6.2,8.75,4.0,,,,,,6.4,N1,25.35,,16.6,,,21.35,,,,18.95,,,
06005121,25,6,5121,2.4,6.75,,,,,,,8.4,N1,17.55,,,,,17.55,,,,,,,
06005122,25,6,5122,3.4,6.75,,,,9.0,7.75,,,,26.9,,,,23.5,,,,,,,,
06005123,25,6,5123,8.8,,7.0,6.5,,,,,,,22.3,22.3,,,,,,,,,,,
06005124,25,6,5124,6.6,4.75,,,,7.75,,,6.0,N1,25.1,,,,,17.35,,,,,,,
06005126,25,6,5126,,7.0,,,,9.75,8.5,,,,25.25,,,,25.25,,,,,,,,
06005127,25,6,5127,3.4,4.5,,,,6.75,6.5,,,,21.15,,,,17.75,,,,,,,,
06005128,25,6,5128,7.4,7.75,,,,5.75,8.75,,3.6,N1,33.25,,,,22.25,18.75,,,,,,,
06005129,25,6,5129,8.0,7.75,,,,,,,3.8,N1,19.55,,,,,19.55,,,,,,,
06005130,25,6,5130,,6.75,,,,8.0,9.25,9.0,,,33.0,,,,24.0,,,8.75,,,,,
06005131,25,6,5131,7.4,,7.5,7.5,,,,,,,22.4,22.4,,,,,,,,,,,
06005132,25,6,5132,,5.5,,,,5.75,7.25,,,,18.5,,,,18.5,,,,,,,,
06005133,25,6,5133,7.2,,7.5,,,,,,7.0,N1,21.7,,21.7,,,,,,,,,,
06005134,25,6,5134,,3.75,,,,5.0,6.25,,,,15.0,,,,15.0,,,,,,,,
06005135,25,6,5135,,6.0,,,,8.75,8.75,,,,23.5,,,,23.5,,,,,,,,
06005136,25,6,5136,,2.0,,,,3.25,4.75,,,,10.0,,,,10.0,,,,,,,,
06005137,25,6,5137,,3.0,,,,6.0,7.25,,,,16.25,,,,16.25,,,,,,,,
06005138,25,6,5138,7.6,8.25,7.75,3.25,,,,,6.0,N1,32.85,18.6,21.35,,,21.85,,,,23.6,16.85,,
06005139,25,6,5139,,5.0,,,,4.25,7.0,,,,16.25,,,,16.25,,,,,,,,
06005140,25,6,5140,8.4,,4.75,7.0,,,,,,,20.15,20.15,,,,,,,,,,,
06005141,25,6,5141,6.8,,5.75,2.75,,,,,,,15.3,15.3,,,,,,,,,,,
06005142,25,6,5142,,3.0,,,,4.0,3.5,,,,10.5,,,,10.5,,,,,,,,
06005143,25,6,5143,2.6,3.75,,,,,,,,,6.35,,,,,,,,,,,,
06005144,25,6,5144,6.4,,6.0,,,,,,6.0,N1,18.4,,18.4,,,,,,,,,,
06005145,25,6,5145,0.8,3.5,,,,3.25,3.5,,,,11.05,,,,10.25,,,,,,,,
06005147,25,6,5147,,4.75,,,,3.75,5.0,,,,13.5,,,,13.5,,,,,,,,
06005148,25,6,5148,8.6,,7.25,7.0,,,,,,,22.85,22.85,,,,,,,,,,,
06005149,25,6,5149,,3.75,,,,4.0,3.75,,,,11.5,,,,11.5,,,,,,,,
06005150,25,6,5150,4.8,,4.75,2.75,,,,,,,12.3,12.3,,,,,,,,,,,
06005151,25,6,5151,8.4,8.5,,,,9.75,8.5,,3.0,N1,38.15,,,,26.75,19.9,,,,,,,
06005152,25,6,5152,,5.0,,,,5.25,6.25,,,,16.5,,,,16.5,,,,,,,,
06005153,25,6,5153,,9.0,,,,9.75,9.0,,,,27.75,,,,27.75,,,,,,,,
06005154,25,6,5154,,7.75,,,,7.25,7.5,,,,22.5,,,,22.5,,,,,,,,
06005155,25,6,5155,7.0,,4.75,6.75,,,,,6.0,N1,24.5,18.5,17.75,,,,,,,,19.75,,
06005156,25,6,5156,,5.5,,,,7.75,7.0,,,,20.25,,,,20.25,,,,,,,,
06005157,25,6,5157,6.4,7.5,,,,8.25,8.25,,3.4,N1,33.8,,,,24.0,17.3,,,,,,,
06005158,25,6,5158,,5.5,,,,8.0,8.75,,,,22.25,,,,22.25,,,,,,,,
06005159,25,6,5159,8.6,,9.25,7.25,,,,,,,25.1,25.1,,,,,,,,,,,
06005161,25,6,5161,,6.25,,,,5.75,5.75,,4.6,N4,22.35,,,,17.75,,,,,,,,
06005163,25,6,5163,,4.0,,,,4.75,6.5,,,,15.25,,,,15.25,,,,,,,,
06005165,25,6,5165,,4.0,,,,6.5,5.25,,,,15.75,,,,15.75,,,,,,,,
06005166,25,6,5166,,5.0,,,,7.0,7.5,,,,19.5,,,,19.5,,,,,,,,
06005167,25,6,5167,,4.25,,,,5.75,7.75,,,,17.75,,,,17.75,,,,,,,,
06005169,25,6,5169,,7.0,,,,,,,,,7.0,,,,,,,,,,,,
06005170,25,6,5170,,6.5,,,,6.0,6.5,,,,19.0,,,,19.0,,,,,,,,
06005171,25,6,5171,,3.5,,,,4.75,6.0,,,,14.25,,,,14.25,,,,,,,,
06005172,25,6,5172,3.6,,3.25,3.75,,,,,,,10.6,10.6,,,,,,,,,,,
06005173,25,6,5173,7.6,6.25,,,,,,,5.8,N1,19.65,,,,,19.65,,,,,,,
06005174,25,6,5174,,4.25,,,,3.75,6.25,,,,14.25,,,,14.25,,,,,,,,
06005175,25,6,5175,,4.5,,,,3.5,7.0,,,,15.0,,,,15.0,,,,,,,,
06005176,25,6,5176,3.2,2.5,,,,2.75,4.0,7.0,3.4,N1,22.85,,,,9.25,9.1,,4.58,,,,,22.85
06005177,25,6,5177,6.8,5.25,,,,,6.5,,4.2,N1,22.75,,,,,16.25,,,,,,,
06005178,25,6,5178,,7.0,,,,7.5,9.75,,,,24.25,,,,24.25,,,,,,,,
06005179,25,6,5179,6.6,7.5,,,,,,,3.2,N1,17.3,,,,,17.3,,,,,,,
06005180,25,6,5180,7.8,8.5,,,,,,,7.0,N1,23.3,,,,,23.3,,,,,,,
06005181,25,6,5181,2.2,2.5,,,,4.75,5.25,5.0,2.4,N1,22.1,,,,12.5,7.1,,5.0,,,,,22.1
06005182,25,6,5182,,6.75,,,,5.5,7.25,7.25,,,26.75,,,,19.5,,,6.67,,,,,
06005184,25,6,5184,,5.25,,,,6.25,8.0,,,,19.5,,,,19.5,,,,,,,,
06005185,25,6,5185,,4.0,,,,4.25,4.75,,,,13.0,,,,13.0,,,,,,,,
06005186,25,6,5186,2.0,3.0,,,,3.0,5.0,,,,13.0,,,,11.0,,,,,,,,
06005187,25,6,5187,8.2,,6.0,4.5,,,,,,,18.7,18.7,,,,,,,,,,,
06005188,25,6,5188,,3.5,,,,4.25,3.5,,,,11.25,,,,11.25,,,,,,,,
06005189,25,6,5189,7.4,,7.0,4.5,,,,,6.4,N1,25.3,18.9,20.8,,,,,,,,18.3,,
06005191,25,6,5191,,5.25,,,,4.0,5.25,,,,14.5,,,,14.5,,,,,,,,
06005192,25,6,5192,6.0,6.5,,,,,,,2.6,N1,15.1,,,,,15.1,,,,,,,
06005193,25,6,5193,5.0,4.75,,,,,,,2.6,N1,12.35,,,,,12.35,,,,,,,
06005194,25,6,5194,,7.25,,,,9.5,10.0,9.0,,,35.75,,,,26.75,,,9.5,,,,,
06005195,25,6,5195,8.2,8.0,,,,,,,5.0,N1,21.2,,,,,21.2,,,,,,,
06005196,25,6,5196,7.6,,6.5,,,,,,8.0,N1,22.1,,22.1,,,,,,,,,,
06005197,25,6,5197,8.0,6.75,5.0,3.25,,,,,,,23.0,16.25,,,,,,,,19.75,,,
06005198,25,6,5198,6.0,,6.75,,,,,,3.6,N1,16.35,,16.35,,,,,,,,,,
06005199,25,6,5199,,8.5,,,,7.25,7.75,9.25,4.4,N1,37.15,,,,23.5,,,8.08,,,,,
06005201,25,6,5201,8.4,6.5,6.25,5.0,,,,,,,26.15,19.65,,,,,,,,21.15,,,
06005202,25,6,5202,,8.5,,,,6.75,7.5,,,,22.75,,,,22.75,,,,,,,,
